"","MEblack","MEblue","MEbrown","MEcyan","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEsalmon","MEtan","MEturquoise","MEyellow"
"X.BLA..CN..171..1.0..0.024736.",0.178860656240042,0.0579672137027155,0.508156501836814,0.252189396304029,0.580953622084046,0.205084287110189,0.349236119907824,-0.655206154342378,-0.326805122526887,-0.379275606243303,-0.395090333058764,-0.504189242956431,-0.723349934100495,-0.543923182829981,-0.324165988584999,0.55900602480796,0.631625736615143,0.513481324475828,0.287093400792216
"X.test_BLA..CN..175..1.0..0.177900.",0.0743941489463986,-0.432749763090469,-0.0270988732383399,-0.0637927920948816,0.157104936662162,0.111600060799473,-0.016779484643396,-0.29295158278595,-0.489650874618326,-0.483031311778642,-0.39999524978416,-0.371559729764808,-0.163474548208638,-0.40102897036411,-0.555046107065249,0.2606535135801,0.207476039361702,0.275041438795735,0.303482596561827
"X.BLA..SN..182..1.0..0.000818.",0.120557863869197,0.333216457928519,-0.0578974943795425,0.219340918145795,-0.347982941496173,-0.649003397820114,0.141877794483239,0.413900689680176,0.246160440892623,0.286316784552995,0.550157221943195,-0.0102932869616502,0.231313491445818,-0.0752653612497784,0.454899745701864,-0.41615349109697,-0.445659405501891,-0.0169224387243551,-0.340763327279359
"X.BLA..CN..183..1.0..0.030263.",0.320769724674948,0.0829472099836044,0.20340692195358,0.49841094125753,-0.0875211708721469,0.0378667766202712,-0.614974927677418,0.0991854020016305,0.357609768151127,0.263539917204664,0.414403642826752,-0.152730302800171,0.0687512113342122,0.230874431259713,0.144044465583567,-0.238626250368474,-0.19827134019466,-0.096394718882702,-0.251190887471585
"X.BLA..SN..185..1.0..0.000285.",-0.347864239922679,0.283743148132787,0.146124533128958,-0.134047973142296,0.26720203937229,0.0656394737941074,0.169237011117508,-0.173195832232905,0.110125394416307,0.113065798527194,-0.136102270444717,0.338600290208285,0.0393479922414588,0.325302261585302,0.244936456080116,-0.0396596824893987,0.153096116470906,-0.248120880864909,-0.138426595046651
"X.BLA..SN..191..1.0..0.018520.",-0.275988594196641,0.209414966487839,0.00862444386651937,0.0251215794534558,0.100385216030691,-0.047920029412241,0.00748211382834889,-0.0574210910266502,0.319959209906818,0.123362358571808,0.100169234141189,0.0129907334945887,-0.0724534666116669,0.0534216871696011,-0.0395963736290144,-0.201505114686156,0.0387025246918218,-0.237778020467482,-0.211187312891445
"X.BLA..SN..193..1.0..0.002738.",-0.100794939655394,0.406509512916184,0.0879658503601986,-0.189578463786358,-0.0479007198451024,-0.0694445973091208,-0.0364580176514911,0.0658660238709596,0.123476567199262,0.468071767595195,0.186554447835252,0.553209622418733,0.247326544033406,0.329517293719594,0.379938744025812,-0.153514165509823,-0.371234056633728,-0.414848152243758,-0.342162764601247
"X.BLA..CN..194..1.0..0.0.",-0.0542945731964587,0.0124917103347056,0.130268921850449,0.157081271592994,0.199995570810417,0.0877327776393739,-0.0206528168056916,-0.175923465343648,0.166317914372615,0.057324034409785,0.0437491655052682,-0.0762438399445075,-0.0633364362940949,0.0782934905374012,-0.11881178811822,-0.0872002830208565,0.181312056148175,-0.100572532060967,-0.0714275365087363
"X.BLA..SN..204..1.0..0.005963.",-0.182516695462581,0.196426702453947,-0.11503471630651,0.12241243759923,-0.0167620720140315,-0.305332036301766,0.167272375830551,0.188911496017982,0.272385934490015,-0.0483608626411169,0.124686287123753,-0.113354830821327,-0.0344456221119888,0.381646703172793,0.146404718712608,-0.15602869347507,-0.0808943927417193,0.0719426235633709,-0.181069176628292
"X.BLA..SN..205..1.0..0.002711.",-0.101712279894863,-0.299236542878676,-0.616728822974799,-0.564361694246953,-0.419311190517231,-0.15897994832037,0.462978373215306,0.380025187016503,-0.215180181146622,-0.405837753535142,-0.0864176149109757,-0.12663886210767,0.210694595007341,-0.027519000135738,-0.000886767063329581,-0.0811509238666196,-0.0122147132759333,0.171984978750582,0.385870210421665
"X.BLA..CN..214..1.0..0.006375.",0.527354888759247,-0.424869973167883,-0.0295454939673847,-0.111601351925727,-0.260190420432464,0.5912348599537,-0.332808360829023,0.144054168873322,-0.397778003602887,-0.0438277947082272,-0.214069560167602,0.226230810334945,0.177169497382585,0.0428654476003779,0.117520400690541,0.3802123911343,-0.049179485153988,0.193827626712287,0.475332510533622
"X.BLA..CN..223..1.0..0.137218.",0.308170875277334,-0.247311074064619,0.218030005718743,0.201293571979324,0.195427513838639,0.181976573916876,-0.308035176824455,-0.095752195506874,-0.169756690809775,-0.135162434470417,-0.263888490544216,-0.0499996280883682,-0.304792828988856,-0.329434242546117,-0.263173081705049,0.337456903496971,0.211202413436437,0.313123162730795,0.198958712061225
"X.BLA..SN..225..1.0..0.0.",-0.466936835438551,-0.178549568738653,-0.456271777848686,-0.412467841136139,-0.321400383621097,-0.0504548006703756,0.031624996048699,0.158507353777833,0.00313564327573055,0.183815102515205,0.0758435195350269,0.273978266988378,0.387249504870919,-0.0647505579190553,-0.186064424628649,-0.163490228505966,-0.265961493222263,-0.424764411784423,-0.114509829943243
