"","AI"
"MEpurple",0.0317299019603586
"MEred",0.00998887817367256
"MEblue",0.0672158019136866
"MElightgreen",0.0680309406506037
"MElightcyan",0.071393995705207
"MEmagenta",0.0713389512624829
"MEmidnightblue",0.131647282049169
"MEgrey60",0.198358625330172
"MEpink",0.142246316351383
"MEblack",0.2666676010493
"MEgreenyellow",0.398681981505492
"MEturquoise",0.0869252179521743
"MEsalmon",0.0951014370108466
"MEyellow",0.181904836451871
"MEgreen",0.275579455517651
"MEtan",0.210849131357926
"MEbrown",0.492685866693974
"MEcyan",0.552641130876579
"MEgrey",0.362059506089535
